6, 13, 0.13
255, 262, 0.19
248, 249, 0.19
46, 52, 0.17
221, 235, 0.13
40, 45, 0.19
21, 32, 0.17
51, 54, 0.2
264, 267, 0.19
8, 16, 0.2
92, 106, 0.15
253, 261, 0.2
40, 42, 0.13
8, 21, 0.15
55, 60, 0.15
213, 231, 0.17
250, 267, 0.17
241, 257, 0.19
245, 266, 0.17
22, 28, 0.13
150, 154, 0.13
216, 238, 0.11
257, 261, 0.2
170, 184, 0.2
123, 127, 0.15
52, 60, 0.2
9, 19, 0.17
6, 19, 0.15
247, 256, 0.19
249, 266, 0.15
229, 239, 0.13
59, 61, 0.2
246, 247, 0.13
14, 31, 0.19
68, 81, 0.2
69, 85, 0.2
70, 72, 0.2
158, 161, 0.15
159, 166, 0.19
193, 195, 0.19
200, 202, 0.2
201, 210, 0.17
202, 204, 0.2
202, 205, 0.2
81, 88, 0.2
70, 79, 0.2
7, 31, 0.2
31, 34, 0.2
181, 193, 0.13
198, 201, 0.13
158, 163, 0.2
151, 166, 0.2
155, 167, 0.2
214, 235, 0.11
206, 210, 0.11
230, 235, 0.13
